二分k-means的聚类后的质心
第1个质心为：[[5.66634158 2.32713105 2.34596829 1.23555396]]
第2个质心为：[[5.79714303 2.52272632 6.09696109 2.21276629]]
第3个质心为：[[7.13406605 2.44192342 6.06867267 1.65025568]]
聚类结果:
第1个属性被归类为：0       距离为：3.0072600351369587
第2个属性被归类为：0       距离为：3.862137902635603
第3个属性被归类为：0       距离为：3.5224451121278646
第4个属性被归类为：0       距离为：4.031434453899792
第5个属性被归类为：0       距离为：3.660280001580564
第6个属性被归类为：0       距离为：4.058249346653971
第7个属性被归类为：0       距离为：3.3830932173495594
第8个属性被归类为：0       距离为：3.899027823468481
第9个属性被归类为：0       距离为：3.1897509567688784
第10个属性被归类为：0       距离为：3.743741322571256
第11个属性被归类为：0       距离为：3.5304361898267524
第12个属性被归类为：0       距离为：3.3876391416747977
第13个属性被归类为：0       距离为：5.161561694459484
第14个属性被归类为：0       距离为：5.201970403206609
第15个属性被归类为：0       距离为：5.71173131729792
第16个属性被归类为：0       距离为：4.33705463546544
第17个属性被归类为：0       距离为：3.4664815583224464
第18个属性被归类为：0       距离为：3.4630120571820724
第19个属性被归类为：0       距离为：4.081009266969747
第20个属性被归类为：0       距离为：2.7116326385102982
第21个属性被归类为：0       距离为：3.619324686866608
第22个属性被归类为：0       距离为：5.641282349681492
第23个属性被归类为：0       距离为：2.225531422702511
第24个属性被归类为：0       距离为：3.1728552144130946
第25个属性被归类为：0       距离为：2.525604402720315
第26个属性被归类为：0       距离为：2.849677976751075
第27个属性被归类为：0       距离为：3.3811303754406543
第28个属性被归类为：0       距离为：3.3357502448723673
第29个属性被归类为：0       距离为：3.324556927221945
第30个属性被归类为：0       距离为：2.976714822708234
第31个属性被归类为：0       距离为：2.63579837332547
第32个属性被归类为：0       距离为：5.365683900741324
第33个属性被归类为：0       距离为：5.502535610765801
第34个属性被归类为：0       距离为：3.1897509567688784
第35个属性被归类为：0       距离为：3.591526614684205
第36个属性被归类为：0       距离为：3.569712745960475
第37个属性被归类为：0       距离为：3.1897509567688784
第38个属性被归类为：0       距离为：4.222795270979207
第39个属性被归类为：0       距离为：3.259824901875354
第40个属性被归类为：0       距离为：3.7889435322678717
第41个属性被归类为：0       距离为：3.330399641164824
第42个属性被归类为：0       距离为：4.53194284905822
第43个属性被归类为：0       距离为：2.7800301836633152
第44个属性被归类为：0       距离为：3.3871238420212366
第45个属性被归类为：0       距离为：2.9734175595475323
第46个属性被归类为：0       距离为：4.118926399562161
第47个属性被归类为：0       距离为：3.866212559638591
第48个属性被归类为：0       距离为：3.8070096380454617
第49个属性被归类为：0       距离为：3.3577130867812723
第50个属性被归类为：2       距离为：2.5285465848863793
第51个属性被归类为：0       距离为：6.009939184667862
第52个属性被归类为：2       距离为：1.876224276183735
第53个属性被归类为：0       距离为：2.7683797970635178
第54个属性被归类为：0       距离为：6.0691820545644095
第55个属性被归类为：0       距离为：4.868743818956543
第56个属性被归类为：1       距离为：3.1840023255522887
第57个属性被归类为：0       距离为：1.5582514614376914
第58个属性被归类为：0       距离为：6.284709110256974
第59个属性被归类为：0       距离为：2.7985627670517474
第60个属性被归类为：0       距离为：1.9383006728630225
第61个属性被归类为：0       距离为：4.014714159373536
第62个属性被归类为：0       距离为：2.9187968038438807
第63个属性被归类为：1       距离为：2.8461471032580854
第64个属性被归类为：0       距离为：1.9093288497112277
第65个属性被归类为：0       距离为：5.911864898740593
第66个属性被归类为：0       距离为：5.166938130382496
第67个属性被归类为：0       距离为：3.289008721518604
第68个属性被归类为：0       距离为：5.0107379252212105
第69个属性被归类为：0       距离为：2.4676743002668093
第70个属性被归类为：1       距离为：2.3217632761935194
第71个属性被归类为：0       距离为：3.1516388494158147
第72个属性被归类为：2       距离为：2.087411646408714
第73个属性被归类为：1       距离为：3.1457988813709115
第74个属性被归类为：0       距离为：4.6888267166190465
第75个属性被归类为：0       距离为：5.570559425175289
第76个属性被归类为：2       距离为：1.911977209805201
第77个属性被归类为：2       距离为：1.644398575187087
第78个属性被归类为：0       距离为：5.149291079446166
第79个属性被归类为：0       距离为：1.4628651987806205
第80个属性被归类为：0       距离为：2.1655624851727278
第81个属性被归类为：0       距离为：1.921866934707581
第82个属性被归类为：0       距离为：2.5731744563337777
第83个属性被归类为：1       距离为：1.4419908481115062
第84个属性被归类为：0       距离为：5.233474761330908
第85个属性被归类为：1       距离为：3.7365273134561687
第86个属性被归类为：2       距离为：2.517319764947121
第87个属性被归类为：0       距离为：4.625458639384996
第88个属性被归类为：0       距离为：3.537934346394637
第89个属性被归类为：0       距离为：2.7975273751425305
第90个属性被归类为：0       距离为：4.322437321360795
第91个属性被归类为：1       距离为：3.220994058005029
第92个属性被归类为：0       距离为：2.8294070088230523
第93个属性被归类为：0       距离为：1.4104093569239802
第94个属性被归类为：0       距离为：3.5850193208049
第95个属性被归类为：0       距离为：3.8925831635128465
第96个属性被归类为：0       距离为：3.7708985834097066
第97个属性被归类为：0       距离为：4.435363347567457
第98个属性被归类为：0       距离为：0.7967588038788127
第99个属性被归类为：0       距离为：3.3055184528414174
第100个属性被归类为：1       距离为：0.948924175669922
第101个属性被归类为：1       距离为：1.123188285829755
