k-means的聚类后的质心
第1个质心为：[6.10960121 3.18558627 1.98917951 2.28081805]
第2个质心为：[6.37829192 2.93058807 6.59836209 0.26968083]
第3个质心为：[5.55112957 2.95810531 2.96893731 0.6897892 ]
聚类结果:
第1个属性被归类为：2       距离为：3.127182618201788
第2个属性被归类为：2       距离为：3.808179784102502
第3个属性被归类为：2       距离为：3.32245183874097
第4个属性被归类为：2       距离为：3.4172303286825203
第5个属性被归类为：2       距离为：2.6041854186179187
第6个属性被归类为：2       距离为：3.713418272777304
第7个属性被归类为：2       距离为：2.8966849923089084
第8个属性被归类为：2       距离为：4.029933254478826
第9个属性被归类为：2       距离为：2.949731934328309
第10个属性被归类为：2       距离为：2.9709181458768468
第11个属性被归类为：2       距离为：2.8733493605438247
第12个属性被归类为：2       距离为：3.3753663728433323
第13个属性被归类为：2       距离为：5.40785833053764
第14个属性被归类为：2       距离为：4.51651368332134
第15个属性被归类为：2       距离为：4.342977284615207
第16个属性被归类为：2       距离为：3.7793352637866584
第17个属性被归类为：2       距离为：3.1106676365002643
第18个属性被归类为：2       距离为：2.4930865766645463
第19个属性被归类为：2       距离为：3.2220169878302194
第20个属性被归类为：2       距离为：2.0682064106703355
第21个属性被归类为：2       距离为：2.9956802104115146
第22个属性被归类为：2       距离为：5.433283832905462
第23个属性被归类为：2       距离为：1.9666316977862963
第24个属性被归类为：2       距离为：2.141986976667271
第25个属性被归类为：2       距离为：2.419381780853868
第26个属性被归类为：2       距离为：2.4569818512607378
第27个属性被归类为：2       距离为：2.8146121003225195
第28个属性被归类为：2       距离为：3.0200206240739913
第29个属性被归类为：2       距离为：2.8968174002259475
第30个属性被归类为：2       距离为：2.6982125479216834
第31个属性被归类为：2       距离为：2.4598656534987198
第32个属性被归类为：2       距离为：3.932843565444795
第33个属性被归类为：2       距离为：4.246374380109049
第34个属性被归类为：2       距离为：2.949731934328309
第35个属性被归类为：2       距离为：3.7312895011040346
第36个属性被归类为：2       距离为：3.3215092786162375
第37个属性被归类为：2       距离为：2.949731934328309
第38个属性被归类为：2       距离为：4.3520996533117255
第39个属性被归类为：2       距离为：2.7964590775453577
第40个属性被归类为：2       距离为：3.5346810125559984
第41个属性被归类为：2       距离为：4.475263335885186
第42个属性被归类为：2       距离为：4.4088575283931535
第43个属性被归类为：2       距离为：2.4794451090454657
第44个属性被归类为：2       距离为：2.138909302783489
第45个属性被归类为：2       距离为：3.1794506930873467
第46个属性被归类为：2       距离为：3.026187366416028
第47个属性被归类为：2       距离为：3.6646182375738694
第48个属性被归类为：2       距离为：3.011144060640398
第49个属性被归类为：2       距离为：3.1220935160603798
第50个属性被归类为：1       距离为：5.3405037683105725
第51个属性被归类为：2       距离为：3.7796885533583255
第52个属性被归类为：1       距离为：4.698998764252264
第53个属性被归类为：2       距离为：1.8711643345807656
第54个属性被归类为：2       距离为：4.2421594271397325
第55个属性被归类为：2       距离为：2.76366988629631
第56个属性被归类为：2       距离为：4.502760643200226
第57个属性被归类为：2       距离为：0.9412845093820538
第58个属性被归类为：2       距离为：4.1362281296728804
第59个属性被归类为：2       距离为：1.561187450448464
第60个属性被归类为：2       距离为：1.5999679218712788
第61个属性被归类为：2       距离为：2.2954226359712044
第62个属性被归类为：2       距离为：1.9355293428562759
第63个属性被归类为：2       距离为：3.8056124023204587
第64个属性被归类为：2       距离为：0.7763618902302363
第65个属性被归类为：2       距离为：3.8923771726971372
第66个属性被归类为：2       距离为：3.0047379963853027
第67个属性被归类为：2       距离为：1.5040883987947609
第68个属性被归类为：2       距离为：3.996351007478287
第69个属性被归类为：2       距离为：1.2473994359468121
第70个属性被归类为：2       距离为：4.765582223665546
第71个属性被归类为：2       距离为：1.7617035337030298
第72个属性被归类为：1       距离为：4.589654759478042
第73个属性被归类为：2       距离为：3.58314914453573
第74个属性被归类为：2       距离为：2.8680423430765383
第75个属性被归类为：2       距离为：3.654224149919973
第76个属性被归类为：1       距离为：4.706618577819509
第77个属性被归类为：1       距离为：4.708888396309135
第78个属性被归类为：2       距离为：3.205455399790386
第79个属性被归类为：2       距离为：0.5286601437707068
第80个属性被归类为：2       距离为：1.1730338744618336
第81个属性被归类为：2       距离为：0.9447791756320115
第82个属性被归类为：2       距离为：1.2557476416231452
第83个属性被归类为：1       距离为：4.211113680353804
第84个属性被归类为：2       距离为：3.025189825912404
第85个属性被归类为：2       距离为：3.569392247615962
第86个属性被归类为：2       距离为：4.993056948942589
第87个属性被归类为：2       距离为：3.4142071713036217
第88个属性被归类为：2       距离为：1.6558035213100257
第89个属性被归类为：2       距离为：1.6479222096621928
第90个属性被归类为：2       距离为：2.4391091419121618
第91个属性被归类为：2       距离为：3.4677788011533552
第92个属性被归类为：2       距离为：1.513581242790247
第93个属性被归类为：2       距离为：0.9426796570777899
第94个属性被归类为：2       距离为：1.9568792473957008
第95个属性被归类为：2       距离为：1.7997479851322846
第96个属性被归类为：2       距离为：1.913411207713578
第97个属性被归类为：2       距离为：2.568494172603639
第98个属性被归类为：2       距离为：0.5826161613942282
第99个属性被归类为：2       距离为：1.6988197314650475
第100个属性被归类为：1       距离为：5.47495557389793
第101个属性被归类为：1       距离为：5.29062194932156
第102个属性被归类为：1       距离为：4.363458426931676
第103个属性被归类为：1       距离为：3.3456688726211397
第104个属性被归类为：1       距离为：4.383144985593819
第105个属性被归类为：1       距离为：4.8474595763584585
第106个属性被归类为：2       距离为：3.9985090322706025
第107个属性被归类为：1       距离为：3.2813780995009623
第108个属性被归类为：1       距离为：3.26816095678426
第109个属性被归类为：1       距离为：6.346004850939225
第110个属性被归类为：1       距离为：5.326489017597619
第111个属性被归类为：1       距离为：4.397326805686277
第112个属性被归类为：1       距离为：4.7391232536177155
第113个属性被归类为：2       距离为：6.073890888067296
第114个属性被归类为：1       距离为：7.134823501208278
第115个属性被归类为：1       距离为：5.880994065477052
第116个属性被归类为：1       距离为：3.5679069071969156
第117个属性被归类为：1       距离为：6.239251689316689
第118个属性被归类为：1       距离为：6.069382062392939
第119个属性被归类为：1       距离为：4.745310338801467
第120个属性被归类为：1       距离为：5.274012469772231
第121个属性被归类为：2       距离为：5.473041076745175
第122个属性被归类为：1       距离为：4.768300169633087
第123个属性被归类为：1       距离为：5.285611030037206
第124个属性被归类为：1       距离为：4.397083957463461
第125个属性被归类为：1       距离为：3.447700894794037
第126个属性被归类为：2       距离为：5.031388729212037
第127个属性被归类为：2       距离为：5.264585057764834
第128个属性被归类为：1       距离为：4.364319602755627
第129个属性被归类为：1       距离为：3.0871532941301285
第130个属性被归类为：1       距离为：3.9672459995817317
第131个属性被归类为：1       距离为：6.104824508533653
第132个属性被归类为：1       距离为：4.7403834360719515
第133个属性被归类为：1       距离为：3.781957078814399
第134个属性被归类为：1       距离为：2.4610831524593384
第135个属性被归类为：1       距离为：6.122290949929045
第136个属性被归类为：1       距离为：5.761463799044564
第137个属性被归类为：1       距离为：3.5774476770114028
第138个属性被归类为：2       距离为：4.788598433820566
第139个属性被归类为：1       距离为：5.087019672702883
第140个属性被归类为：1       距离为：5.667183105091711
第141个属性被归类为：1       距离为：6.6681645942039305
第142个属性被归类为：1       距离为：5.29062194932156
第143个属性被归类为：1       距离为：4.8603260177026915
第144个属性被归类为：1       距离为：6.0213392907287595
第145个属性被归类为：1       距离为：6.185926559628152
第146个属性被归类为：1       距离为：5.404237674453876
第147个属性被归类为：1       距离为：4.96905182869796
第148个属性被归类为：1       距离为：5.81040318681656
第149个属性被归类为：1       距离为：4.820546887411129
